Iteration	Posterior	Likelihood	Prior	clado_event_probs[1]	clado_event_probs[2]	dispersal_rate	extirpation_rate	p_allopatry	p_sympatry	r_morph
110	-146.2788	-151.7186	5.439881	0.194296	0.805704	0.004661922	0.001957046	0.8057035	0.1942965	0.1401684
111	-145.5217	-150.0021	4.480397	0.194296	0.805704	0.004661922	0.007702748	0.8057035	0.1942965	0.2303711
112	-148.0493	-150.7722	2.722864	0.331126	0.668874	0.008295703	0.007702748	0.6688741	0.3311259	0.4024907
113	-148.0574	-149.9108	1.853304	0.237828	0.762172	0.008295703	0.01368042	0.7621721	0.2378279	0.483469
114	-145.2422	-149.3547	4.112427	0.0785357	0.921464	0.008808095	0.01368042	0.9214643	0.07853575	0.2570443
115	-143.7435	-147.9606	4.217108	0.0785357	0.921464	0.006695634	0.00532477	0.9214643	0.07853575	0.2570443
116	-144.925	-148.7947	3.869668	0.180937	0.819063	0.007098212	0.006418943	0.8190628	0.1809372	0.2902916
117	-147.8498	-151.4983	3.64844	0.231042	0.768958	0.007406989	0.02823292	0.7689578	0.2310422	0.2902916
118	-146.5271	-150.8339	4.306828	0.106842	0.893158	0.01134464	0.005651559	0.8931578	0.1068422	0.2430965
119	-144.5283	-149.3448	4.81645	0.106842	0.893158	0.007912354	0.005651559	0.8931578	0.1068422	0.1955666
120	-147.4914	-152.6748	5.183441	0.106842	0.893158	0.007912354	0.0221042	0.8931578	0.1068422	0.1424149
121	-148.9141	-154.191	5.276823	0.121637	0.878363	0.01213721	0.008541108	0.8783634	0.1216366	0.1424149
122	-150.1104	-154.2788	4.168318	0.121637	0.878363	0.01473416	0.001837655	0.8783634	0.1216366	0.257372
123	-146.5323	-150.6324	4.100108	0.121637	0.878363	0.004570287	0.01882251	0.8783634	0.1216366	0.257372
124	-145.2156	-149.3352	4.119641	0.121637	0.878363	0.006355085	0.01508442	0.8783634	0.1216366	0.257372
125	-145.2085	-149.3363	4.127723	0.0918869	0.908113	0.005546865	0.01508442	0.9081131	0.09188687	0.257372
126	-144.1557	-148.0669	3.91116	0.0918869	0.908113	0.004964994	0.004162258	0.9081131	0.09188687	0.2905322
127	-146.1398	-150.3118	4.172002	0.0918869	0.908113	0.008353435	0.02231833	0.9081131	0.09188687	0.2429035
128	-143.8798	-148.2205	4.340631	0.0244881	0.975512	0.005815841	0.007993058	0.9755119	0.02448806	0.2429035
129	-145.6971	-147.3838	1.686741	0.0244881	0.975512	0.005756852	0.007993058	0.9755119	0.02448806	0.5083516
130	-143.7779	-146.6807	2.902872	0.0244881	0.975512	0.006257698	0.001351559	0.9755119	0.02448806	0.3928791
131	-143.1705	-146.957	3.786426	0.0304828	0.969517	0.006257698	0.00121274	0.9695172	0.03048285	0.3046625
132	-146.1707	-147.4494	1.278696	0.0304828	0.969517	0.007717819	0.008829084	0.9695172	0.03048285	0.546359
133	-146.3417	-148.8901	2.548397	0.0695912	0.930409	0.004096869	0.008829084	0.9304088	0.06959121	0.4230098
134	-146.8573	-149.3878	2.530502	0.0695912	0.930409	0.003914098	0.01080145	0.9304088	0.06959121	0.4230098
135	-144.1035	-148.6452	4.541746	0.0695912	0.930409	0.005101744	0.00589884	0.9304088	0.06959121	0.2256003
136	-143.6524	-147.7196	4.067145	0.0230042	0.976996	0.008425228	0.002785348	0.9769958	0.02300418	0.2728505
137	-146.9047	-150.9159	4.011252	0.0823978	0.917602	0.01204108	0.004758712	0.9176022	0.08239778	0.2728505
138	-146.2755	-146.9053	0.6297939	0.0823978	0.917602	0.005527649	0.001313421	0.9176022	0.08239778	0.6209551
139	-145.5443	-148.2943	2.749942	0.0823978	0.917602	0.009285819	0.004641216	0.9176022	0.08239778	0.4018543
140	-144.6999	-147.5	2.800144	0.0528427	0.947157	0.008679047	0.001740148	0.9471573	0.05284269	0.4003419
141	-148.4003	-147.6337	-0.7665865	0.00984887	0.990151	0.008797493	0.008593054	0.9901511	0.009848872	0.7500436
142	-147.3981	-148.8172	1.419037	0.0647199	0.93528	0.01011947	0.008593054	0.9352801	0.06471986	0.5301594
143	-146.1851	-151.0475	4.862406	0.0647199	0.93528	0.003094045	0.002395779	0.9352801	0.06471986	0.1990451
144	-146.8534	-151.6317	4.778357	0.131577	0.868423	0.00306473	0.005097299	0.8684229	0.1315771	0.2047778
145	-147.25	-152.3981	5.148126	0.230333	0.769667	0.004905052	0.01289785	0.7696672	0.2303328	0.15816
146	-144.7828	-149.5557	4.772905	0.108234	0.891766	0.006157143	0.01045356	0.8917662	0.1082338	0.1968744
147	-146.0046	-149.8606	3.856022	0.0644553	0.935545	0.007328573	0.02368546	0.9355447	0.06445531	0.2741593
148	-145.056	-149.4887	4.432721	0.114495	0.885505	0.00678094	0.01412062	0.8855051	0.1144949	0.2266019
149	-144.5753	-149.1192	4.543943	0.191193	0.808807	0.00678094	0.002998359	0.8088065	0.1911935	0.2266019
150	-144.5045	-148.644	4.139457	0.0441532	0.955847	0.004127076	0.003657401	0.9558468	0.0441532	0.2690454
151	-144.9518	-149.3429	4.391117	0.0441532	0.955847	0.004127076	0.007071639	0.9558468	0.0441532	0.2404651
152	-143.8236	-148.1832	4.359684	0.0498447	0.950155	0.007270343	0.007071639	0.9501553	0.04984468	0.2404651
