gbifID	species	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	year	institutionCode	collectionCode	catalogNumber	recordNumber	recordedBy	CHELSA_01	CHELSA_02	CHELSA_03	CHELSA_04	CHELSA_05	CHELSA_06	CHELSA_07	CHELSA_08	CHELSA_09	CHELSA_10	CHELSA_11	CHELSA_12	CHELSA_13	CHELSA_14	CHELSA_15	CHELSA_16	CHELSA_17	CHELSA_18	CHELSA_19	MODCF_CloudForestPrediction	MODCF_interannual	MODCF_intraannual	MODCF_meanannual	MODCF_monthlymean_01	MODCF_monthlymean_02	MODCF_monthlymean_03	MODCF_monthlymean_04	MODCF_monthlymean_05	MODCF_monthlymean_06	MODCF_monthlymean_07	MODCF_monthlymean_08	MODCF_monthlymean_09	MODCF_monthlymean_10	MODCF_monthlymean_11	MODCF_monthlymean_12	MODCF_seasonalityconcentration	MODCF_seasonality_theta	MODCF_spatialSD_1deg	elevation	slope
1895364359	hartwegii	16.54	-92.43	NA	1967	CNS-UT	LL	78404	NA	A. Shilom T.	160.947983	79	568	1433.701294	229.947983	90.298653	140	169.947983	141.947983	177.947983	136.947983	1094.156006	226.70134	13	83	619.753357	41	241.350677	51	0.001128	955.169739	1612.885254	7578.395508	5762.884277	5485.79834	5976.095215	6508.284668	8935.868164	9520.830078	8855.015625	8975.886719	9239.466797	8916.335938	6928.941406	5837.887695	136.754578	2258.603271	1139.093994	1959.978638	13.682336
1895364357	hartwegii	16.991019	-92.848261	NA	1965	CNS-UT	LL	78399	NA	D. E. Breedlove; F. S. Kawahara	184.608261	77	555.681641	1659.103271	251.608261	113.119781	138.48848	194.608261	175.608261	203.608261	157.343109	1533.379761	270.094604	32.276836	68.82988	780.153564	106.118713	265.304596	149.517883	0.000257	1092.519531	1398.101318	6308.05127	5810.914062	4738.196777	4456.95752	4397.04834	6179.794922	7994.913086	8075.046387	7615.90332	7637.699707	7250.349121	6366.398926	5171.782715	137.947098	2436.664551	1035.027466	1448.595093	18.746046
1895364356	hartwegii	17.043331	-92.483333	NA	1968	CNS-UT	LL	78400	NA	A. Shilom T.	223.516037	76	545.496765	1714.522461	292.019257	152.516037	139	233.516037	215.516037	243.516037	195.516037	2054.550781	338.935852	53.490376	61	976.801086	165.967926	370.406982	232.458298	1.90E-05	1199.824951	1098.121094	5095.175293	5108.542969	3456.293457	3609.274414	3444.689697	5710.793457	6647.669922	5932.459473	5829.413086	5977.293945	5691.533691	5267.039551	4467.263672	120.389427	2430.113037	726.103516	771.756897	14.1873
1895364351	hartwegii	16.527219	-92.434719	NA	1967	CNS-UT	LL	78403	NA	A. Shilom T.	170.355911	79.677956	566	1438.355957	240.355911	99.677956	140	179.355911	152.355911	188.355911	146.355911	1080.677979	222.644089	12	84	611.644104	38	238.322037	48	0.001025	994.995605	1722.611694	7588.870605	5796.825684	5380.910645	5653.812012	6421.463379	8932.540039	9621.78125	8976.53125	9172.517578	9340.584961	9102.3125	6843.879395	5822.285645	145.723221	2278.066895	1161.964355	1813.604736	2.526371
1895364338	hartwegii	17.059439	-92.558889	NA	1988	CNS-UT	TEX	78358	NA	M. Perez G.	222.400345	76	545.765259	1725.979126	290.769745	151.358154	139.411591	233.20723	214.400345	242.769745	194.400345	1867.156128	318.420624	48.858654	59.957809	897.656189	155.382828	324.270813	223.199295	1.70E-05	1159.858398	1106.747925	4976.883789	5013.677246	3668.337158	3304.388184	3250.705322	5278.102051	6716.614746	5915.617676	5462.374023	5989.643066	5407.538086	5354.546875	4361.526855	120.535408	2463.141602	756.88385	795.285461	42.646023
1895364318	hartwegii	16.891939	-92.511669	NA	1966	CNS-UT	LL	78405	NA	D. E. Breedlove; F. S. Kawahara	163.663651	77	563.286987	1583.0896	230.663651	93.663658	137.237671	173.663651	155.663651	181.663651	137.663651	1975.919434	343.811676	46	67	983.434998	139.524673	382.623352	183.524673	0.000601	1033.870605	1224.200317	6974.613281	6375.727051	5323.861328	5423.973633	5577.813477	7375.344727	8775.047852	8311.859375	7857.172363	8000.905762	7925.33252	6805.737793	5943.066406	108.087822	2357.795166	797.117126	1858.181274	12.269958
1895364315	hartwegii	16.724789	-92.871219	NA	1965	CNS-UT	LL	78355	NA	D. E. Breedlove; F. S. Kawahara	191.072662	79	557.882568	1549.058716	260.392731	118.444435	141.948303	200.072662	170.444427	209.985306	165.444427	1248.6521	264.957306	14.139052	87	734.957764	44.876282	235.403091	52.794525	0.000359	921.310364	1962.724609	7060.382324	5555.445801	4575.316895	5108.445801	4449.758301	7095.5625	9076.788086	9320.520508	9191.456055	9305.521484	8687.452148	6579.348633	5780.111328	180	2419.483154	1042.862305	1501.493042	26.479424
1895135968	hartwegii	16.520278	-92.407222	NA	1993	IHNE	CHIP	19273	NA	S. Ochoa G.; M. Gonzalez E.	161.27417	79	568.217102	1425.326294	230.316452	90.290253	140	170.014755	142.332535	178.27417	137.27417	1108.128296	228.810394	13	83.058357	625.632263	40.957718	246.240021	51.132565	0.001102	946.583252	1679.503906	7576.651367	5665.695312	5608.918457	5676.496094	6621.994141	9030.637695	9446.269531	8742.629883	9195.041016	9375.928711	9009.618164	6855.550293	5687.847168	141.912796	2263.463135	1148.738403	1974.439697	3.588931
1895135947	hartwegii	16.881944	-92.304722	NA	1987	IHNE	CHIP	15395	NA	J. Lopez P.	192.779922	76	554.740051	1609.299927	260.779907	122.779922	138	202.779922	184.779922	211.779922	165.909912	1827.321777	312.270294	45.740028	61.870014	876.420898	142.960114	352.970428	192.090088	0.000194	1060.141357	1400.622559	6502.496582	5522.280762	4524.106934	4878.839355	4988.75293	7225.380371	8433.193359	7485.319336	7884.205566	7927.816895	7558.282715	6274.711914	5328.067383	135.406906	2352.446533	684.101746	1357.852417	10.066925
1895135946	hartwegii	17.046667	-92.736389	NA	1949	IHNE	CHIP	315	NA	F. Miranda G.	203	77	550	1702	270	131	139	213	194	222	175	1963	331	47	64	958	154	343	217	0.000176	1041	1280	6588	6586	5069	4841	4413	6603	8091	7660	7455	7881	7854	6709	5892	114	2539	908	1155.098511	12.374104
1895135942	hartwegii	16.905833	-92.725	NA	1988	IHNE	CHIP	3499	NA	L. Gonzalez G.; A. Ruiz P.	160.835999	78	562.512085	1595.085205	227.728836	89.240913	138	170.835999	151.835999	178.835999	134.240921	1814.898071	327.380554	34.669575	72.437592	943.786682	109.008728	340.323303	147.802719	0.000708	1011.163574	1439.451904	7143.727539	6565.589844	5579.387207	5469.150879	4932.243652	7099.051758	8876.233398	8721.660156	8479.217773	8756.262695	8165.87793	7109.387207	5968.967285	125.150642	2445.535156	982.794861	1890.166748	3.066389
1895135921	hartwegii	16.527222	-92.434722	NA	1987	IHNE	CHIP	19980	NA	M. Gomez L.	170.357208	79.678604	566	1438.357178	240.357208	99.678604	140	179.357208	152.357208	188.357208	146.357208	1080.678589	222.642792	12	84	611.642761	38	238.321396	48	0.001025	995.014587	1722.650391	7588.834473	5796.833008	5380.850098	5653.72998	6421.249023	8932.442383	9621.832031	8976.618164	9172.515625	9340.59082	9102.303711	6843.805176	5822.243652	145.727158	2278.075439	1161.969482	1813.613037	2.528192
1895135912	hartwegii	16.891667	-92.370833	NA	1987	IHNE	CHIP	9480	NA	E. Santiz C.	192.788513	77	555.474304	1614.839844	260.788513	122.788506	138	202.788513	184.788513	211.788513	166.525665	1743.852051	314.685822	48	60	863.320312	145.474335	322.634491	198.737167	0.000213	1166.782471	1364.695068	6241.544922	5634.174316	4185.192871	4415.70459	4934.319824	7050.498535	8331.793945	7519.902832	7383.235352	7292.283203	6966.492676	6015.264648	5167.094727	133.985199	2313.193359	708.984985	1419.06958	13.197878
1895135909	hartwegii	16.950833	-92.771389	NA	1987	IHNE	CHIP	3500	NA	L. Gonzalez G.; A. Ruiz R.	164.756012	77	561.310974	1616.478516	231.10051	93.10051	138	174.756012	155.756012	182.756012	137.756012	1894.109985	338.622009	37	70	970.83252	120.344498	336.932983	174.033508	0.000607	990.228394	1466.599365	7199.830566	6710.85791	5466.001465	5299.835938	5072.458984	7000.511719	8777.513672	8656.658203	8735.172852	8728.600586	8487.862305	7341.860352	6117.287109	128.285645	2490.600342	1012.028625	1891.93042	5.7832
1895135868	hartwegii	16.932222	-92.765555	NA	1987	IHNE	CHIP	3501	NA	L. Gonzalez G.; A. Gonzalez H.	167.97699	78	560.717834	1614.209595	234.97699	96.569885	138.110275	177.97699	159.50827	185.97699	141.569885	1827.750977	334.426514	35.358452	71.186562	955.22345	114.247238	325.667236	161.7005	0.000655	1005.569092	1442.345703	7326.435547	6854.55957	5500.938477	5473.466797	5225.227539	7194.48584	8839.666016	8918.821289	8839.425781	8677.324219	8577.850586	7427.407715	6389.706543	124.289253	2483.762207	1014.969604	1775.571289	14.454178
1895135852	hartwegii	16.5425	-92.377778	NA	1988	IHNE	CHIP	20944	NA	F. Gomez S.	142.110321	79	572	1422.724243	211.110321	72.110321	138	152.110321	124.110321	159.110321	119.110321	1301.903931	253.503555	17.944839	78.110321	700.786499	56.779362	302.613892	70.669037	0.00104	1014	1475.226807	7242.961426	5698.904785	5505.242188	6148.945312	6377.79834	8755.84375	9159.454102	8305.579102	8517.6875	8730.484375	8011.369629	6622.024414	5084.203613	128.585953	2175.929688	1068.92981	2243.346191	4.709348
1895135848	hartwegii	17.075	-92.875	NA	1971	IHNE	CHIP	2726	NA	D. E. Breedlove	175.333527	76	554.003906	1678.677246	242.15683	104.333527	137.823303	186.161804	166.155792	194.15683	148.161804	1714.084717	289.835754	40.034966	61.993999	828.121826	137.128906	290.67395	203.672684	0.000212	1060.998779	1236.00708	6193.948242	5293.162598	4747.238281	4700.117676	4866.666016	7223.882324	7786.253906	7225.721191	6635.50293	7359.382324	7609.664551	5925.573242	4954.478027	117.364441	2333.751221	960.276489	1636.304688	8.446895
1895135842	hartwegii	16.527222	-92.434722	NA	1988	IHNE	CHIP	15394	NA	J. Lopez P.	170.357208	79.678604	566	1438.357178	240.357208	99.678604	140	179.357208	152.357208	188.357208	146.357208	1080.678589	222.642792	12	84	611.642761	38	238.321396	48	0.001025	995.014587	1722.650391	7588.834473	5796.833008	5380.850098	5653.72998	6421.249023	8932.442383	9621.832031	8976.618164	9172.515625	9340.59082	9102.303711	6843.805176	5822.243652	145.727158	2278.075439	1161.969482	1813.613037	2.528192
1895135835	hartwegii	16.974722	-92.600555	NA	1987	IHNE	CHIP	15081	NA	M. Perez G.	177.324142	77	557.892578	1638.11145	245.139206	107.081253	138	188.266174	169.139206	196.324142	151.081253	1922.833008	333.263367	44.931252	65.757111	950.052979	139.555115	360.212036	192.314209	0.000429	1124.502808	1228.830933	6716.734863	6431.913574	5213.580566	5276.178223	4760.363281	6796.933594	8285.779297	7723.662109	7496.688477	8139.202637	7956.118652	6616.02832	5903.053223	108.38546	2485.625488	825.179321	1568.591187	5.836998
1894680269	hartwegii	16.872429	-92.476878	770	1982	ECOSUR	ECO-CH-H	2634	NA	A. Mendez G.	174	77	560	1590	242	104	138	184	166	193	148	1866	331	45	65	936	135	362	179	0.000417	1042.669189	1193.775024	6843.193359	6381.268066	5169.642578	5245.578125	5511.731445	7397.231934	8431.642578	8017.247559	7776.614746	7864.574707	7883.304199	6633.617188	5808.826172	107.116119	2368.056641	784.175415	1664.906372	10.739343
1894680267	hartwegii	16.872429	-92.476878	770	1982	ECOSUR	ECO-CH-H	2633	NA	A. Mendez G.	174	77	560	1590	242	104	138	184	166	193	148	1866	331	45	65	936	135	362	179	0.000417	1042.669189	1193.775024	6843.193359	6381.268066	5169.642578	5245.578125	5511.731445	7397.231934	8431.642578	8017.247559	7776.614746	7864.574707	7883.304199	6633.617188	5808.826172	107.116119	2368.056641	784.175415	1664.906372	10.739343
1893694118	hartwegii	16.871667	-92.476944	NA	1983	INECOL	IEB	21350	NA	A. Mendez T.	174	77	560	1590	242	104	138	184	166	193	148	1866	331	45	65	936	135	362	179	0.000417	1042	1203	6862	6401	5158	5256	5519	7411	8441	8066	7814	7904	7892	6667	5819	108	2370	785	1678.172119	8.139393
1893694113	hartwegii	16.527222	-92.434722	NA	1987	INECOL	IEB	21345	NA	J. Lopez P.	170.357208	79.678604	566	1438.357178	240.357208	99.678604	140	179.357208	152.357208	188.357208	146.357208	1080.678589	222.642792	12	84	611.642761	38	238.321396	48	0.001025	995.014587	1722.650391	7588.834473	5796.833008	5380.850098	5653.72998	6421.249023	8932.442383	9621.832031	8976.618164	9172.515625	9340.59082	9102.303711	6843.805176	5822.243652	145.727158	2278.075439	1161.969482	1813.613037	2.528192
1893694109	hartwegii	16.883333	-92.71	NA	1988	INECOL	IEB	21341	NA	L. Gonzalez G.	162.925323	78	563.125977	1587.334839	230.148315	91.419472	138.651031	173.148315	154.419464	181.070496	136.925323	1563.356079	292.328308	30.046923	72.271156	825.593384	93.567558	293.519165	126.770111	0.000989	1065.692749	1380.532837	7321.106445	6603.455566	5693.868164	5762.981934	5698.608398	7832.825195	9123.677734	8848.455078	8391.615234	8840.613281	8298.727539	6938.45752	5817.595703	117.647018	2339.613525	970.728027	1979.409302	13.696034
1893694101	hartwegii	16.51	-92.371667	NA	1988	INECOL	IEB	21354	NA	M. Gomez L.	153.680435	79	570	1414.024292	222.037033	83.028587	139	162.671997	134.680435	170.671997	129.680435	1125.205322	229.06604	14	82.008446	627.509216	44	251.348053	54.99155	0.001116	1052.911743	1696.714111	7241.265137	5490.937012	5194.208008	5249.791992	6370.814453	8814.49707	9217.197266	8504.8125	8747.47168	9016.879883	8600.124023	6356.410156	5332.550781	149.065872	2242.769531	1122.74707	2091.256104	3.049221
1893406079	hartwegii	16.791667	-92.491667	NA	1965	CAS	CAS-BOT	12763	NA	D. E. Breedlove	141.510559	78	569.091675	1525.547241	208.305588	71.269646	137	152.156387	122.628815	159.269653	116.510559	1686.654297	307.984711	35.645821	68.204964	868.981506	114.434074	344.009979	141.106888	0.000882	971.143005	1375.711914	7274.476562	6445.166992	5578.140625	5306.678711	5842.085449	7715.648926	8938.607422	8879.338867	8517.175781	8748.126953	8183.466797	6901.232422	6235.282715	121.162239	2365.872559	861.911621	2261.780518	12.732716
1893406013	hartwegii	16.991667	-92.891667	NA	1968	CAS	CAS-BOT	21333	NA	A. Shilom T.	202.914658	77	550.731934	1683.245728	270.607635	130.914658	140	212.914658	193.914658	221.914658	175.127121	1191.497681	212.092834	24.51948	68	603.413025	82.558441	206.818375	119.740456	9.30E-05	1049.287231	1690.461304	5912.852539	4992.770508	3982.372314	3606.656006	3751.916016	6364.419922	7995.467773	7271.790039	7182.537109	7958.580566	7572.208984	5723.875	4547.355469	178.007416	2432.243164	1038.965698	1232.990234	11.456309
1426205844	hartwegii	16.992222	-92.858056	NA	1995	CAS	BOT-BC	366640	706	"Mejia E., Hector; Luna, G. Alfonso"	189.620544	77	553.921265	1667.525513	256.620544	117.620544	139	199.620544	180.620544	208.620544	162.488831	1341.087524	235.882446	27.583832	69.741341	681.355408	90.619781	234.194016	127.138412	0.000181	1108.882812	1389.907227	6140.221191	5611.475098	4635.836426	4297.795898	4275.195312	6298.178711	7850.594727	7704.179688	7257.302734	7640.523926	7189.028809	6115.800293	4802.793945	140.078583	2418.451172	1035.65918	1447.618896	20.156347
1426196816	hartwegii	16.972222	-92.913889	NA	1995	CAS	BOT-BC	366639	788	"Ramirez, Nephtali; Mejia E., Hector; Luna, Alfonso"	196.234009	77	552	1670.350952	264.117004	125.117004	140	207.117004	188.117004	216.117004	169.234009	1446.447876	262.478973	27.882998	69	746.021912	96.53199	244.946976	143.414993	9.20E-05	1027	1649	5820	4618	3667	3917	3998	6575	7767	7348	7101	7878	7170	5524	4272	180	2367	1053	1346.942627	9.66312
