gbifID	species	decimalLongitude	decimalLatitude	coordinateUncertaintyInMeters	year	institutionCode	collectionCode	catalogNumber	recordNumber	recordedBy
1258780078	ayavacense	-78.9025	-5.01194	NA	1999	MO	MO	1550999	NA	Silvia Patricia Flores Vasquez|S. Fernandez
1261255938	ayavacense	-79.116667	-3.5	NA	1980	MO	MO	545121	NA	Thomas B. Croat
1228417064	ayavacense	-79.6	-4.67	NA	1996	F	Botany	NA	668	V. Quipuscoa S. et al.
1894106861	blandum	-93.609444	16.196389	NA	2002	IBUNAM	MEXU	1029337	NA	Alberto Reyes Garcia; Jorge Calonico Soto; Ma. Esther Leon Velasco; Daniel Gomez Casillas; Darinel Cruz
1258717174	blandum	-92.79	15.54	NA	1985	MO	MO	1493624	Mendez Giron 8457	Alonso Mendez Giron
1893423930	blandum	-92.591667	16.825	NA	1964	CAS	CAS-BOT	7356	NA	D. E. Breedlove
1893423854	blandum	-92.591667	16.841667	NA	1964	CAS	CAS-BOT	7375	NA	D. E. Breedlove
1895138754	blandum	-92.225	15.508333	NA	1973	IHNE	CHIP	2719	NA	D. E. Breedlove
1895446915	blandum	-92.341673	15.430658	NA	1982	CNS-UT	TEX	78280	NA	D. E. Breedlove; F. Almeda
1895446883	blandum	-92.347219	15.458331	NA	1976	CNS-UT	LL	78295	NA	D. E. Breedlove; F. S. Kawahara
1895446960	blandum	-92.331239	15.380658	NA	1980	CNS-UT	TEX	78287	NA	D. E. Breedlove; J. Strother
1259439939	blandum	-93.596111	16.210556	NA	1972	MO	MO	2154694	Breedlove 25036	Dennis E. Breedlove
1259442571	blandum	-93.61	16.19	NA	1972	MO	MO	2157081	Breedlove 25415	Dennis E. Breedlove
1259441471	blandum	-92.341944	15.4275	NA	1976	MO	MO	2156090	Breedlove 40312	Dennis E. Breedlove
1259441796	blandum	-92.240555	15.235	NA	1976	MO	MO	2156368	Breedlove 42763	Dennis E. Breedlove
1259443481	blandum	-92.335278	15.43	NA	1971	MO	MO	2157890	Breedlove 22809	Dennis E. Breedlove|Alan R. Smith
1259440413	blandum	-92.337778	15.423056	NA	1973	MO	MO	2155128	Breedlove 31825	Dennis E. Breedlove|Alan R. Smith
1259440323	blandum	-93.608611	16.194444	NA	1972	MO	MO	2155051	Breedlove 30101	Dennis E. Breedlove|Robert F. Thorne
1259439670	blandum	-92.578889	16.815	NA	1972	MO	MO	2154466	Breedlove 30429	Dennis E. Breedlove|Robert F. Thorne
1259442892	blandum	-92.3	15.4	NA	1972	MO	MO	2157381	Breedlove 31133	Dennis E. Breedlove|Robert F. Thorne
1895454406	blandum	-92.29	15.240281	NA	1945	CNS-UT	TEX	78452	NA	E. Matuda
1895140576	blandum	-92.311111	15.364444	NA	1988	IHNE	CHIP	16682	NA	E. Palacios E.; D. E. Breedlove
1893628358	blandum	-92.246667	15.363333	NA	1988	INECOL	IEB	21289	NA	E.M. Martinez S.; et al.
1258717108	blandum	-91.71222	15.66805	NA	1896	MO	MO	1493540	Seler 2639	Eduard G. Seler
1258717098	blandum	-92.133333	15.133333	NA	1938	MO	MO	1493542	Matuda 2332	Eizi Matuda
2807576340	blandum	-92.6125	15.41528	NA	1939	TEX	LL	78303	NA	Eizi Matuda
NA	blandum	-92.327433	15.359067	NA	NA	Yale Peabody Museum	YU	NA	Edwards_630	Erika J. Edwards
1259529273	blandum	-92.341111	15.436944	NA	1988	MO	MO	2235711	Martinez Salas 22421	Esteban M. Martinez S.|Mario Sousa S.|Alberto Reyes-Garcia
2629602802	blandum	-92.348333	15.4325	NA	2009	INECOL	XAL	XAL0137012	NA	F. Hernandez N.; J.M. Jonapa S.
1228414792	blandum	-91.2828	14.6419	NA	1942	F	Botany	NA	46869	J. A. Steyermark
2630163630	blandum	-93.604167	16.2	NA	2002	UNICACH	HEM	HEM 8075	NA	J.C.S.; A.R.G.; M.E.L.V.; D.Cruz
2629752779	blandum	-92.233333	15.272222	NA	2009	INECOL	XAL	NA	NA	J.M. Jonapa S.; F. Hernandez N.
1258717053	blandum	-91.282778	14.641944	NA	1942	MO	MO	1493500	Steyermark 46869	Julian A. Steyermark
1895140541	blandum	-92.806944	15.656944	NA	1990	IHNE	CHIP	5085	NA	M. Heath; A. Long; R. J. Hampshire; P. J. Stafford; A. Reyes G.
1895140558	blandum	-92.8075	15.656944	NA	1990	IHNE	CHIP	5086	NA	M. Heath; A. Long; R. J. Hampshire; P. J. Stafford; A. Reyes G.
2629671638	blandum	-92.8	15.65	NA	1990	INECOL	XAL	107918	NA	M. Heath; A. Long; R.J. Hampshire; A. Reyes-Garcia; P. Stafford
2630148389	blandum	-92.692778	15.599139	NA	2005	UNICACH	HEM	HEM 11945	NA	M.D.R.S.
2630155562	blandum	-92.155333	15.117972	NA	2015	UNICACH	HEM	HEM 43787	NA	M.M.M.; D.A.J.L.; R.J.R.V.
2630145260	blandum	-92.11525	15.095944	NA	2013	UNICACH	HEM	NA	NA	M.M.M.; M.A.D.V.
2630154858	blandum	-92.2715	15.2485	NA	2013	UNICACH	HEM	NA	NA	M.M.M.; M.A.D.V.
2630166857	blandum	-92.106028	15.090167	NA	2013	UNICACH	HEM	NA	NA	M.M.M.; M.A.D.V.
2630171134	blandum	-92.281167	15.248472	NA	2013	UNICACH	HEM	NA	NA	M.M.M.; M.A.D.V.
2630146724	blandum	-92.140555	15.156972	NA	2013	UNICACH	HEM	NA	NA	M.M.M.; M.C.R.M.
2630167608	blandum	-92.186111	15.099528	NA	2014	UNICACH	HEM	NA	NA	M.M.M.; M.C.R.M.
2630140452	blandum	-92.099083	15.084778	NA	2013	UNICACH	HEM	NA	NA	M.M.M.; M.D.E.M.
2630159277	blandum	-92.2205	15.255917	NA	2013	UNICACH	HEM	NA	NA	M.M.M.; M.D.E.M.
2630160572	blandum	-92.178667	15.090889	NA	2014	UNICACH	HEM	NA	NA	M.M.M.; N.M.M.; R.J.R.V.; E.C.N.
2630139534	blandum	-92.30525	15.234889	NA	2015	UNICACH	HEM	HEM 43823	NA	M.M.M.; S.H.J.; J.A.B.B.
2630154053	blandum	-92.317	15.229778	NA	2015	UNICACH	HEM	HEM 44085	NA	M.M.M.; S.H.J.; V.E.G.J.
2630145923	blandum	-93.592222	16.209444	NA	2004	UNICACH	HEM	HEM 21346	NA	N.M.M.
2630149206	blandum	-92.64	15.540556	NA	2006	UNICACH	HEM	NA	NA	N.M.M.
2630161937	blandum	-92.153194	15.113333	NA	2015	UNICACH	HEM	HEM 41829	NA	N.M.M.; M.M.M.; E.C.N.
2630167277	blandum	-92.101528	15.103667	NA	2014	UNICACH	HEM	HEM 41694	NA	N.M.M.; M.M.M.; R.V.H.
2630147848	blandum	-92.18	15.125944	NA	2014	UNICACH	HEM	NA	NA	N.M.M.; M.M.M.; R.V.H.
